Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Cameroon,CMR,"Population, total",SP.POP.TOTL,12070359,15927713,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,..
Cameroon,CMR,Surface area (sq. km),AG.SRF.TOTL.K2,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,..
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,25.53438472,33.69447018,39.34147575,40.35899389,41.40047386,42.46688667,43.55876965,44.67657761,45.81982188,46.98687567,48.17544372,..
Cameroon,CMR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,11128471585,9488576092,17778893130,18975315358,21420579841,23373557298,24114013137,25458631434,26537713464,28630182577,30911385953,..
Cameroon,CMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,920,600,960,990,1090,1160,1170,1210,1230,1290,1360,..
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,20671449887,28408994645,42902783141,44996475447,47531241992,49454953886,51367270050,54586089572,57797020374,61660984144,67058706761,..
Cameroon,CMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1710,1780,2310,2360,2430,2460,2490,2580,2670,2780,2940,..
Cameroon,CMR,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,6.35,..,..,..,..,..,..,..,..
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.434,5.621,5.299,5.235,5.167,5.094,5.017,4.939,4.859,4.78,..,..
Cameroon,CMR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,183.1988,155.7352,134.8048,130.721,127.7446,124.7682,121.7918,118.8154,115.839,111.346,106.853,..
Cameroon,CMR,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,..,25.6,29.2,..,..,..,..,23.4,..,..,..,..
Cameroon,CMR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,60,63,..,..,..,..,63.6,..,..,..,..
Cameroon,CMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,138,150.4,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9
Cameroon,CMR,"School enrollment, primary (% gross)",SE.PRM.ENRR,97.31208,83.1453476,99.25476074,101.2267075,101.5402908,103.7421875,106.0384293,105.7329865,110.6150284,..,113.3217621,..
Cameroon,CMR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,25.45207,27.29602051,23.15625,31.73852921,35.90756989,39.5872612,..,47.18849182,50.37786865,52.20241928,..,..
Cameroon,CMR,Forest area (sq. km),AG.LND.FRST.K2,243160,221160,207960,205760,203560,201360,199160,196960,194760,..,..,..
Cameroon,CMR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,5.784227014,7.52096831,9.001020281,9.001020281,9.001020281,9.001020281,10.91151351,..,10.91457041,..,..,..
Cameroon,CMR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,0.353992674,..,..
Cameroon,CMR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,412.6513553,396.143376,361.509469,332.3033216,326.7787126,344.4175657,338.3474823,321.6158954,322.5260449,..,..,..
