ucc,uccname
1000,stocksbonds
1100,preciousmetals
1200,miscinvestments
1400,employmentcounseling
2000,savingsdeposit
2100,insurance
2200,retirementplans
4000,contributions
4100,cashgifts
4190,gifts_unpecified
5000,alimonychildsupport
9000,mortgage
9900,propertyassessment
10110,flour
10120,flour_prepared
10210,cereal
10310,rice
10320,pasta_cornmeal
20110,whitebread
20210,breadnonwhite
20310,biscuitsrollsmuffins
20410,cakes_nonfrozen
20510,cookies
20610,crackers
20620,breadcracker
20710,bakery_excake
20810,bakery_frozen
20820,piestarts
30110,groundbeef_noncanned
30210,chuckroast_noncanned
30310,roundroast_noncanned
30410,otherbeefroast_noncanned
30510,roundsteak_noncanned
30610,sirloinsteak_noncanned
30710,steak_other_noncanned
30810,beef_other_noncanned
40110,bacon
40210,porkchops
40310,ham_noncanned
40410,otherpork_noncanned
40510,porksausage_noncanned
40610,ham_canned
50110,frankfurters_noncanned
50210,salami_noncanned
50310,otherlunchmeat
50410,lamb_noncanned
50900,mutton_goat_game
60110,chicken
60210,chicken_parts
60310,poultry_other
70110,seafood_canned
70230,fish_fresh
70240,fish_frozen
80110,eggs
90110,milk_fresh
90210,cream
100110,butter
100210,cheese
100410,icecream
100510,dairy_other
110110,apples
110210,bananas
110310,oranges
110410,freshfruits_other
110510,fruites_citrus_non_orange
120110,potatoes
120210,lettuce
120310,tomatoes
120410,freshvegetables_other
130110,orangejuice_frozen
130121,fruits_frozen
130122,fruitjuices_frozen
130211,fruitjuices_fresh
130212,fruitjuices_bottled
130310,fruits_canned
130320,driedfruits
140110,vegetables_frozen
140210,beans_canned
140220,corn_canned
140230,miscvegetables_canned
140310,vegetables_otherprocessed
140320,peas_dried
140330,beans_dried
140340,carrots_onions_greens_cabbage
140410,vegetablejuices_frozen
140420,vegetablejuices
150110,candy
150211,sugar
150212,artificialsweeteners
150310,jams_jellies
160110,margarine
160211,fatsoils
160212,saladdressings
160310,nondairycreamsubstitutes
160320,peanutbutter
170110,coladrinks
170210,carbonateddrinks_other
170310,coffee_roasted
170410,coffee_instant
170510,noncarbonatedfruitflavoreddrinks
170520,tea
170530,drinks_other_noncarbonated
180110,soup
180210,frozenmeals
180220,frozenpreparedfood_other
180310,potatochipssnacks
180320,nuts
180410,saltseasoningsspices
180420,olivespickles
180510,sauces
180520,condiments_other
180611,preparedsalads
180612,prepareddesserts
180620,babyfood
180710,miscpreparedfoods
180720,vitaminsupplements
190111,lunch_atfastfood
190112,lunch_atfullservice
190113,lunch_atvendingmachine
190114,lunch_atemployer
190115,lunch_atboard
190116,lunch_atcatered
190211,dinner_atfastfood
190212,dinner_atfullservice
190213,dinner_atvendingmachine
190214,dinner_atemployer
190215,dinner_atboard
190216,dinner_atcatered
190311,snacks_atfastfood
190312,snacks_atfullservice
190313,snacks_atvendmachine
190314,snacks_atemployer
190315,snacks_atboard
190316,snacks_atcatered
190321,breakfast_atfastfood
190322,breakfast_atfullservice
190323,breakfast_atvendingmachine
190324,breakfast_atemployer
190325,breakfast_atboard
190326,breakfast_atcatered
190911,board_atfastfood
190912,board_atfullservice
190913,boarda_tvendingmachine
190914,board_atemployer
190915,board
190916,board_atcatered
190921,catered_atfastfood
190922,catered_atfullservice
190923,catered_atvendingmachine
190924,catered_atemployer
190925,catered_atboard
190926,catered
200111,beer_athome
200112,nonalcoholicbeer
200210,whiskey_athome
200310,wine_athome
200410,alcohol_other_athome
200511,beer_atfastfood
200512,beer_atfullservice
200513,beer_atvendingmachine
200514,beer_atemployer
200515,beer_atboard
200516,beer_atcatered
200521,wine_atfastfood
200522,wine_atfullservice
200523,wine_atvendingmachine
200524,wine_atemployer
200525,wine_atboard
200526,wine_atcatered
200531,alcoholex_atfastfood
200532,alcoholexfullservice
200533,alcoholexvendingmachine
200534,alcoholex_atemployer
200535,alcoholex_atboard
200536,alcoholex_caterer
210110,homerent
210210,lodgingawayfromhome
210310,housing_schoolkid
210900,landrent
220000,capitalimprovements_notspecified
220110,fireinsurance
220120,homeownerinsurance
220210,propertytaxes
220400,purchaseofproperty
