Date,ID,Cost,category,Name,Desc
03/10/2015,Reference: AT152770007000010217342,24.5,Essential Foods,MARKS AND SPENCER OXFOR OXFORD,RETAIL GOODS Process Date 04/10/2015  RETAIL GOODS
04/10/2015,Reference: AT152780012000010221814,6.5,Sandwich,PRET A MANGER-OXFORD CO OXFORD, Process Date 04/10/2015
03/09/2015,Reference: AT152470013000010211903,8.2,Medicine,BOOTS THE CHEMIST OXFORD,MERCHANDISE Process Date 03/09/2015  MERCHANDISE
03/09/2015,Reference: AT152470013000010213487,4.75,Transportation,BROADGATE LIVERPOOL ST LONDON, Process Date 04/09/2015
03/09/2015,Reference: AT152470013000010212490,87,Postal,MBE SHEPHERDS BUSH LONDON, Process Date 03/09/2015
03/09/2015,Reference: AT152470013000010212915,4.4,Essential Foods,WM MORRISONS STORES LONDON, Process Date 03/09/2015
05/09/2015,Reference: AT152490006000010195214,41.84,Luxury Foods,WAITROSE HEADINGTON OXFORD,GENERAL GOODS Process Date 05/09/2015  GENERAL GOODS
06/09/2015,Reference: AT152500015000010205024,520,Jewelry,BEAVERBROOKS JEWELLERS OXFORD,0155 Oxford Process Date 06/09/2015  0155 Oxford
06/09/2015,Reference: AT152500015000010205052,10.7,Sandwich,BODLEIAN LIBRARY OXFORD,Benugo Ltd - Bodleian Libary Process Date 06/09/2015  Benugo Ltd - Bodleian Libary
06/09/2015,Reference: AT152500015000010205799,92.5,Essential Foods,MARKS AND SPENCER OXFOR OXFORD,RETAIL GOODS Process Date 06/09/2015  RETAIL GOODS
06/09/2015,Reference: AT152500015000010205361,30.94,Eating Out,THAIKHUN OXFORD, Process Date 06/09/2015
07/09/2015,Reference: AT152510011000010213520,5.64,Transportation,BROADGATE LIVERPOOL ST LONDON, Process Date 08/09/2015
07/09/2015,Reference: AT152510011000010212362,5.45,Sandwich,LANIMA LONDON,GOODS OR SERVICES Process Date 07/09/2015  GOODS OR SERVICES
07/09/2015,Reference: AT152510011000010213526,6.93,Essential Foods,M & S SIMPLY FOOD OXFOR OXFORD, Process Date 08/09/2015
08/09/2015,Reference: AT152520017000010206739,4.37,Essential Foods,M & S SIMPLY FOOD OXFOR OXFORD, Process Date 09/09/2015
09/09/2015,Reference: AT152530017000010206794,250,Medicine,BUPA OCCUPATIONAL HEALT LONDON, Process Date 09/09/2015
09/09/2015,Reference: AT152540015000010210539,5,Sandwich,LANIMA LONDON,GOODS OR SERVICES Process Date 10/09/2015  GOODS OR SERVICES
10/09/2015,Reference: AT152540015000010211418,1.39,Essential Foods,BROADGATE LIVERPOOL ST LONDON, Process Date 11/09/2015
10/09/2015,Reference: AT152540015000010210540,5,Sandwich,LANIMA LONDON,GOODS OR SERVICES Process Date 10/09/2015  GOODS OR SERVICES
10/09/2015,Reference: AT152540015000010210373,3623.38,Tuition,READINGECOM2 READING, Process Date 10/09/2015
10/09/2015,Reference: AT152540015000010209999,3.55,Sandwich,VITAL INGREDIENT LONDON,VITAL INGREDIENT SUN STREET Process Date 10/09/2015  VITAL INGREDIENT SUN STREET
11/09/2015,Reference: AT152550006000010215806,16.3,Eating Out,CRAB TAVERN LONDON, Process Date 11/09/2015
11/09/2015,Reference: AT152570015000010210089,5.19,Essential Foods,M & S SIMPLY FOOD OXFOR OXFORD, Process Date 14/09/2015
12/09/2015,Reference: AT152560006000010208244,22.5,Entertainment,EB *THE FACE OF BRITAI SAN FRANCISCO, Process Date 12/09/2015
12/09/2015,Reference: AT152560006000010209071,57.8,Luxury Foods,WAITROSE HEADINGTON OXFORD,GENERAL GOODS Process Date 12/09/2015  GENERAL GOODS
14/09/2015,Reference: AT152580018000010213119,6.74,Transportation,BROADGATE LIVERPOOL ST LONDON, Process Date 15/09/2015
15/09/2015,Reference: AT152590011000010205141,4.85,Essential Foods,M & S SIMPLY FOOD OXFOR OXFORD, Process Date 16/09/2015
15/09/2015,Reference: AT152580080000010007798,-1633.84,,PAYMENT RECEIVED - THANK YOU, Process Date 15/09/2015
15/09/2015,Reference: AT152590011000010203477,4.9,Sandwich,PRET A MANGER-WHITECROS LONDON, Process Date 15/09/2015
16/09/2015,Reference: AT152600011000010205290,2.39,Medicine,BOOTS THE CHEMIST LONDON,MERCHANDISE Process Date 16/09/2015  MERCHANDISE
16/09/2015,Reference: AT152600011000010205352,5,Sandwich,LANIMA LONDON,GOODS OR SERVICES Process Date 16/09/2015  GOODS OR SERVICES
16/09/2015,Reference: AT152600011000010205053,3.3,Sandwich,VITAL INGREDIENT LONDON,VITAL INGREDIENT SUN STREET Process Date 16/09/2015  VITAL INGREDIENT SUN STREET
17/09/2015,Reference: AT152610017000010219573,22.55,Eating Out,ALL BAR ONE LONDON,DATACASH DATACASHDATACASH DATACASHDATACASH Process Date 17/09/2015  DATACASH DATACASH DATACASH DATACASH DATACASH
17/09/2015,Reference: AT152610017000010219230,143.6,Transportation,FIRST GREAT WESTERN LIN OXFORD,GOODS Process Date 17/09/2015  GOODS
17/09/2015,Reference: AT152610017000010218988,6.68,Sandwich,WHISTLESTOP LONDON, Process Date 17/09/2015
18/09/2015,Reference: AT152620008000010205341,1.6,Essential Foods,IZ *SUPERNATURAL LONDON, Process Date 19/09/2015
18/09/2015,Reference: AT152620008000010204341,17.72,Eating Out,SMOLLENSKY'S RESTAURANT LONDON, Process Date 18/09/2015
19/09/2015,Reference: AT152630005000010193965,38.5,Eating Out,4500 MILES FROM DELHI 4 OXFORD, Process Date 19/09/2015
19/09/2015,Reference: AT152630005000010194958,7.59,Medicine,BOOTS THE CHEMIST OXFORD,MERCHANDISE Process Date 19/09/2015  MERCHANDISE
19/09/2015,Reference: AT152630005000010194332,48.52,Essential Foods,SAINSBURY'S SUPERMARKET OXFORD, Process Date 19/09/2015
21/09/2015,Reference: AT152650019000010219911,5,Sandwich,LANIMA LONDON,GOODS OR SERVICES Process Date 21/09/2015  GOODS OR SERVICES
21/09/2015,Reference: AT152650019000010221158,3.15,Postal,POST OFFICE HOUNDSDITC LONDON, Process Date 22/09/2015
21/09/2015,Reference: AT152650019000010219293,2.45,Sandwich,VITAL INGREDIENT LONDON,VITAL INGREDIENT SUN STREET Process Date 21/09/2015  VITAL INGREDIENT SUN STREET
21/09/2015,Reference: AT152650019000010219944,2.39,Sandwich,WHISTLESTOP LONDON, Process Date 21/09/2015
22/09/2015,Reference: AT152660018000010209720,37.7,Eating Out,ALL BAR ONE LONDON,DATACASH DATACASHDATACASH DATACASHDATACASH Process Date 22/09/2015  DATACASH DATACASH DATACASH DATACASH DATACASH
22/09/2015,Reference: AT152660018000010210136,3.12,Sandwich,BROADGATE LIVERPOOL ST LONDON, Process Date 23/09/2015
22/09/2015,Reference: AT152660018000010210336,4.2,Sandwich,FIRST GREATER WESTERN L CARDIFF, Process Date 23/09/2015
23/09/2015,Reference: AT152670019000010212659,24.8,Transportation,FIRST GREAT WESTERN LIN OXFORD,GOODS Process Date 23/09/2015  GOODS
23/09/2015,Reference: AT152670019000010211383,2.79,Sandwich,WH SMITH READING RAILWA READING,STATIONERY Process Date 23/09/2015  STATIONERY
24/09/2015,Reference: AT152680017000010221615,15.13,Entertainment,SAINSBURY'S SUPERMARKET OXFORD, Process Date 24/09/2015
25/09/2015,Reference: AT152690021000010218137,2.55,Sandwich,CAFFE NERO PADDINGTON N LONDON,Nero Express - 87 - Paddington Process Date 25/09/2015  Nero Express - 87 - Paddington
25/09/2015,Reference: AT152690021000010218813,25.15,Eating Out,GOLDEN SHALIMAR LONDON, Process Date 25/09/2015
25/09/2015,Reference: AT152680017000010224521,15,Transportation,LUL TICKET MACHINE-MARY LONDON, Process Date 25/09/2015
25/09/2015,Reference: AT152690021000010217682,3,Essential Foods,SAINSBURY'S SUPERMARKET LONDON, Process Date 25/09/2015
26/09/2015,Reference: AT152700007000010211793,4.25,Tuition,NYTDIGITALSUBSCRIPTI 800-698-4637, Process Date 26/09/2015
26/09/2015,Reference: AT152700007000010210374,30,Tuition,SUBSCRIPTION TO FT.COM LONDON,INTERNET TRANSACTION Process Date 26/09/2015  INTERNET TRANSACTION
26/09/2015,Reference: AT152700007000010212061,41.59,Essential Foods,TESCO STORES 2990 OXFORD, Process Date 27/09/2015
27/09/2015,Reference: AT152710022000010216240,7,Essential Foods,SAINSBURY'S SUPERMARKET OXFORD, Process Date 27/09/2015
