region,district,male,female,total
Dodoma,Kondoa,136518,133186,269704
Dodoma,MPWAPWA,147306,157750,305056
Dodoma,Kongwa,149221,160752,309973
Dodoma,Chamwino,158882,171661,330543
Dodoma,Dodoma Urban,199487,211469,410956
Dodoma,Bahi,105975,115670,221645
Dodoma,Chemba,117585,118126,235711
Arusha,Monduli,75615,83314,158929
Arusha,Arumeru,131264,136880,268144
Arusha,Arusha Urban,199524,216918,416442
Arusha,Karatu,117769,112397,230166
Arusha,Ngorongoro,82610,91668,174278
Arusha,Arusha Rural,154301,168897,323198
Arusha,Longido,60199,62954,123153
Kilimanjaro,Rombo,124528,136435,260963
Kilimanjaro,Mwanga,63199,68243,131442
Kilimanjaro,Same,131515,138292,269807
Kilimanjaro,Moshi Rural,225767,240970,466737
Kilimanjaro,Hai,102457,108076,210533
Kilimanjaro,Moshi Urban,89174,95118,184292
Kilimanjaro,Siha,56500,59813,116313
Tanga,Lushoto,230236,262205,492441
Tanga,Korogwe Rural,33121,35187,68308
Tanga,Muheza,100843,103618,204461
Tanga,Tanga Urban,130920,142412,273332
Tanga,Pangani,26870,27155,54025
Tanga,Handeni Rural,38668,40388,79056
Tanga,Kilindi,118167,118666,236833
Tanga,Mkinga,57760,60305,118065
Tanga,Korogwe Urban,118544,123494,242038
Tanga,Handeni Urban,137218,139428,276646
Morogoro,Kilosa,218378,219797,438175
Morogoro,Morogoro Rural,140824,145424,286248
Morogoro,Kilombero,202789,205091,407880
Morogoro,Ulanga,131562,133641,265203
Morogoro,Morogoro Urban,151700,164166,315866
Morogoro,Mvomero,154843,157266,312109
Morogoro,Gairo,93206,99805,193011
Pwani,Bagamoyo,154198,157542,311740
Pwani,Kibaha Rural,34515,35694,70209
Pwani,Kisarawe,50631,50967,101598
Pwani,Mkuranga,108024,114897,222921
Pwani,Rufiji,104851,112423,217274
Pwani,Mafia,22954,23484,46438
Pwani,Kibaha Urban,62653,65835,128488
Dar-es-Salaam,KINONDONI,860802,914247,1775049
Dar-es-Salaam,Ilala,595928,624683,1220611
Dar-es-Salaam,Temeke,669056,699825,1368881
Lindi,Kilwa,91661,99083,190744
Lindi,Lindi Rural,91647,102496,194143
Lindi,Nachingwea,86382,92082,178464
Lindi,Liwale,44027,47353,91380
Lindi,Ruangwa,63265,67815,131080
Lindi,Lindi Urban,37525,41316,78841
Mtwara,Mtwara Rural,107922,120081,228003
Mtwara,Newala,95018,110474,205492
Mtwara,Mtwara Rural,51062,57237,108299
Mtwara,Tandahimba,105322,122192,227514
Mtwara,Nanyumbu,72237,78620,150857
Mtwara,Masasi Urban,118976,129017,247993
Ruvuma,Tunduru,143660,154619,298279
Ruvuma,Songea Rural,86548,87273,173821
Ruvuma,Mbinga,172402,181281,353683
Ruvuma,Songea Urban,96347,106962,203309
Ruvuma,Namtumbo,98335,103304,201639
Ruvuma,Nyasa,71392,74768,146160
Iringa,Iringa Rural,123243,130789,254032
Iringa,Mufindi,125896,139933,265829
Iringa,Iringa Urban,71932,79413,151345
