region,district,total,,male,,female,,
Arusha,Monduli District Council ,"158,929",,"75,615",,"83,314",,
Arusha,Meru District Council ,"268,144",,"131,264",,"136,880",,
Arusha,Arusha City Council ,"416,442",,"199,524",,"216,918",,
Arusha,Karatu District Council ,"230,166",,"117,769",,"112,397",,
Arusha,Ngorongoro District Council ,"174,278",,"82,610",,"91,668",,
Arusha,Arusha District Council ,"323,198",,"154,301",,"168,897",,
Arusha,Longido District Council ,"123,153",,"60,199",,"62,954",,
Kilimanjaro ,Rombo District Council ,"260,963",,"124,528",,"136,435",,
Kilimanjaro ,Mwanga District Council ,"131,442",,"63,199",,"68,243",,
Kilimanjaro ,Same District Council ,"269,807",,"131,515",,"138,292",,
Kilimanjaro ,Moshi District Council ,"466,737",,"225,767",,"240,970",,
Kilimanjaro ,Hai District Council ,"210,533",,"102,457",,"108,076",,
Kilimanjaro ,Moshi Municipal Council ,"184,292",,"89,174",,"95,118",,
Kilimanjaro ,Siha District Council ,"116,313",,"56,500",,"59,813",,
Tanga,Lushoto District Council ,"492,441",,"230,236",,"262,205",,
Tanga,Korogwe District Council ,"242,038",,"118,544",,"123,494",,
Tanga,Muheza District Council ,"204,461",,"100,843",,"103,618",,
Tanga,Tanga City Council ,"273,332",,"130,920",,"142,412",,
Tanga,Pangani District Council ,"54,025",,"26,870",,"27,155",,
Tanga,Handeni District Council ,"276,646",,"137,218",,"139,428",,
Tanga,Kilindi District Council ,"236,833",,"118,167",,"118,666",,
Tanga,Mkinga District Council ,"118,065",,"57,760",,"60,305",,
Tanga,Korogwe Town Council ,"68,308",,"33,121",,"35,187",,
Tanga,Handeni Town Council ,"79,056",,"38,668",,"40,388",,
Morogoro ,Kilosa District Council ,"438,175",,"218,378",,"219,797",,
Morogoro ,Morogoro District Council ,"286,248",,"140,824",,"145,424",,
Morogoro ,Kilombero District Council ,"407,880",,"202,789",,"205,091",,
Morogoro ,Ulanga District Council ,"265,203",,"131,562",,"133,641",,
Morogoro ,Morogoro Municipal Council ,"315,866",,"151,700",,"164,166",,
Morogoro ,Mvomero District Council ,"312,109",,"154,843",,"157,266",,
