"","region","region_name","district","district_name","is_urban","S","E"
"1",1,"Dodoma",1,"Kondoa",0,-4.906388889,35.77972222
"2",1,"Dodoma",2,"MPWAPWA",0,-6.348333333,36.48666667
"3",1,"Dodoma",3,"Kongwa",0,-6.192777778,36.40722222
"4",1,"Dodoma",4,"Dodoma Rural",0,-6.098611111,36.03805556
"5",1,"Dodoma",5,"Dodoma Urban",1,-6.175555556,35.73861111
"6",1,"Dodoma",6,"Bahi",0,-5.952777778,35.31194444
"7",2,"Arusha",1,"Monduli",0,-3.296111111,36.45
"8",2,"Arusha",2,"Arumeru",1,-3.133333333,36.86666667
"9",2,"Arusha",3,"Arusha",1,-3.3725,36.69444444
"10",2,"Arusha",4,"Karatu",0,-3.333333333,35.66666667
"11",2,"Arusha",5,"Ngorongoro",0,-2.75,35.5
"12",3,"Kilimanjaro",1,"Rombo",0,-3.016666667,37.46666667
"13",3,"Kilimanjaro",2,"Mwanga",0,-3.75,37.66666667
"14",3,"Kilimanjaro",3,"Same",0,-4.25,37.91666667
"15",3,"Kilimanjaro",4,"Moshi Rural",0,-3.3393,37.3439
"16",3,"Kilimanjaro",5,"Hai",0,-3.166666667,37.16666667
"17",3,"Kilimanjaro",6,"Moshi Urban",1,-3.3616,37.3466
"18",4,"Tanga",1,"Lushoto",0,-4.798611111,38.29027778
"19",4,"Tanga",2,"Korogwe",0,-5.155833333,38.45027778
"20",4,"Tanga",3,"Muheza",0,-5,38.91694444
"21",4,"Tanga",4,"Tanga Urban",1,-5.066666667,39.10027778
"22",4,"Tanga",5,"Pangani",0,-5.42,38.97
"23",4,"Tanga",6,"Handeni",0,-5.5817,38.43
"24",4,"Tanga",7,"Kilindi",0,-5.87519,39.29
"25",4,"Tanga",8,"Mkinga",0,-5.82,33.034
"26",5,"Morogoro",1,"Kilosa",0,-6.8332,36.99
"27",5,"Morogoro",2,"Morogoro Rural",0,-7.207,37.815
"28",5,"Morogoro",3,"Kilombero",0,-8.0972,36.9827
"29",5,"Morogoro",4,"Ulanga",0,-8.982373,36.630143
"30",5,"Morogoro",5,"Morogoro Urban",1,-6.779875,37.669235
"31",5,"Morogoro",6,"Mvomero",0,-7.028554,37.440732
"32",6,"Pwani",1,"Bagamoyo",0,-6.43333,38.9
"33",6,"Pwani",1,"Bagamoyo",0,-6.349459,38.409061
"34",6,"Pwani",2,"Kibaha",0,-6.76667,38.91667
"35",6,"Pwani",2,"Kibaha",0,-6.76667,38.91667
"36",6,"Pwani",3,"Kisarawe",0,-6.9,39.06667
"37",6,"Pwani",4,"Mkuranga",0,-7.11799,39.20782
"38",6,"Pwani",5,"Rufiji",0,-7.974503,38.682373
"39",6,"Pwani",6,"Mafia",0,-7.842963,39.779678
"40",7,"Dar-es-Salaam",1,"KINONDONI",0,-6.727135,39.143954
"41",7,"Dar-es-Salaam",2,"Ilala",1,-6.910039,39.16296
"42",7,"Dar-es-Salaam",3,"Temeke",1,-7.02635,39.478549
"43",8,"Lindi",1,"Kilwa",0,-9.199962,38.954925
"44",8,"Lindi",2,"Lindi Rural",0,-10.132786,39.299301
"45",8,"Lindi",3,"Nachingwea",0,-10.38333,38.76667
"46",8,"Lindi",4,"Liwale",0,-9.76667,37.93333
"47",8,"Lindi",5,"Ruangwa",0,-10.06667,38.93333
"48",8,"Lindi",6,"Lindi Urban",1,-9.970644,39.563905
"49",9,"Mtwara",1,"Mtwara Rural",0,-10.527777,39.963815
"50",9,"Mtwara",2,"Newala",0,-10.666722,39.287257
"51",9,"Mtwara",3,"Masasi",0,-10.71667,38.8
"52",9,"Mtwara",4,"Tandahimba",0,-10.791786,39.587087
"53",9,"Mtwara",5,"Mtwara Urban",1,-10.329959,40.160519
"54",10,"Ruvuma",1,"Tunduru",0,-11.026352,37.348874
"55",10,"Ruvuma",2,"Songea Rural",0,-10.212855,35.446443
"56",10,"Ruvuma",3,"Mbinga",0,-10.8333,34.833
"57",10,"Ruvuma",4,"Songea Urban",1,-10.660068,35.648706
"58",10,"Ruvuma",5,"Namtumbo",0,-10.454888,36.181732
"59",11,"Iringa",1,"Iringa Rural",0,-7.50503,35.127133
"60",11,"Iringa",1,"Iringa Rural",0,-7.50503,35.127133
"61",11,"Iringa",2,"Mufindi",0,-8.448084,35.539948
"62",11,"Iringa",3,"Makete",0,-9.128789,34.095554
"63",11,"Iringa",4,"Njombe",0,-9.33333,34.76667
"64",11,"Iringa",5,"Ludewa",0,-9.980815,34.804761
"65",11,"Iringa",6,"Iringa Urban",1,-7.723145,35.710512
"66",11,"Iringa",7,"Kilolo",0,-7.716656,36.223656
"67",12,"Mbeya",1,"Chunya",0,-7.62147,33.121366
"68",12,"Mbeya",2,"Mbeya Rural",0,-9.038975,33.330904
"69",12,"Mbeya",3,"Kyela",0,-9.58333,33.85
"70",12,"Mbeya",4,"Rungwe",0,-9.213821,33.66574
"71",12,"Mbeya",5,"Ileje",0,-9.445005,33.484176
"72",12,"Mbeya",6,"Mbozi",0,-8.984303,32.943815
"73",12,"Mbeya",7,"Mbarali",0,-8.272152,34.220014
"74",12,"Mbeya",8,"Mbeya Urban",1,-8.885477,33.465937
"75",13,"Singida",1,"Iramba",0,-4.435539,34.293361
"76",13,"Singida",2,"Singidia Rural",0,-5.5,34.5
"77",13,"Singida",3,"Manyoni",0,-6.373718,34.529003
"78",13,"Singida",4,"Singidia Urban",1,-4.816261,34.722895
"79",14,"Tabora",1,"Nzega",1,-4.21667,33.18333
"80",14,"Tabora",2,"Igunga",1,-4.28333,33.88333
"81",14,"Tabora",3,"Uyui",1,-5.076955,33.528302
"82",14,"Tabora",4,"Urambo ",1,-5.06667,32.05
"83",14,"Tabora",5,"Sikonge",0,-5.63333,32.76667
"84",14,"Tabora",6,"Tabora Urban",1,-5.005991,32.791916
"85",15,"Rukwa",1,"Mpanda",1,-6.34379,31.06951
"86",15,"Rukwa",2,"Sumbawanga",0,-7.96667,31.61667
"87",15,"Rukwa",3,"Nkasi",0,-7.513591,31.013149
"88",15,"Rukwa",4,"Sumbawanga Urban",1,-7.984356,31.637571
"89",16,"Kibondo",1,"Kibondo",0,-3.58639,30.72028
"90",16,"Kibondo",2,"Kasulu",0,-4.7333,34.733
"91",16,"Kibondo",3,"Kigoma Rural",0,-4.6833,30.367
"92",16,"Kibondo",4,"Kigoma Urban",1,-4.883,29.63
"93",17,"Shinyanga",1,"Bariadi",0,-2.8,33.98333
"94",17,"Shinyanga",2,"Maswa",0,-3.277668,33.818161
"95",17,"Shinyanga",3,"Shinyanga Rural",0,-3.622351,33.103009
"96",17,"Shinyanga",4,"Kahama",0,-3.83333,32.6
"97",17,"Shinyanga",5,"Bukombe",0,-3.46666,31.9
"98",17,"Shinyanga",6,"Meatu",0,-3.449749,34.482059
"99",17,"Shinyanga",7,"Shinyanga Urban",1,-3.625822,33.44267
"100",17,"Shinyanga",8,"Kishapu",0,-3.747788,33.76673
"101",18,"Kagera",1,"Karagwe",0,-1.890683,31.023623
"102",18,"Kagera",2,"Bukoba Rural",0,-1.414912,31.654234
"103",18,"Kagera",3,"Muleba",0,-1.83972,31.65444
"104",18,"Kagera",4,"Biharamulo",0,-2.63194,31.30889
"105",18,"Kagera",5,"Ngara",0,-2.51222,30.65583
"106",18,"Kagera",6,"Bukoba Urban",1,-1.311853,31.805488
"107",18,"Kagera",7,"Chato",0,-2.63778,31.76694
"108",18,"Kagera",8,"Misenye",0,-3.466,31.9
"109",19,"Mwanza",1,"Ukerewe",0,-2.042089,33.004549
"110",19,"Mwanza",2,"Magu",0,-2.605862,33.504505
"111",19,"Mwanza",3,"Nyamagana",1,-2.588308,32.950446
"112",19,"Mwanza",4,"Kwimba",0,-3.074791,33.342287
"113",19,"Mwanza",5,"Sengerema",1,-2.696912,32.670761
"114",19,"Mwanza",6,"Geita",0,-2.9166,32.25
"115",19,"Mwanza",7,"Misungwi",1,-3.020345,32.967558
"116",19,"Mwanza",8,"Ilemela",1,-2.457157,32.969135
"117",20,"Mara",1,"Tarime",1,-1.35,34.36667
"118",20,"Mara",2,"Sengerema",1,-2.696912,32.670761
"119",20,"Mara",3,"Musoma Rural",0,-1.887373,33.61469
"120",20,"Mara",4,"Bunda",0,-2.05,33.86667
"121",20,"Mara",5,"Musoma Urban",1,-1.495136,33.802454
"122",21,"Manyara",1,"Babati",0,-4.21667,35.75
"123",21,"Manyara",2,"Hanang",0,-4.588583,35.347671
"124",21,"Manyara",3,"Mbulu",0,-3.85,35.53333
"125",21,"Manyara",4,"Simanjiro",0,-4.148138,37.090999
"126",21,"Manyara",5,"Kiteto",0,-5.360294,36.693672
"127",51,"Kaskazini Unguja",1,"Kaskazini A",0,-5.870817,39.314721
"128",51,"Kaskazini Unguja",2,"Kaskazini B",0,-5.981523,39.239012
"129",52,"Kusini Unguja",1,"Kati",1,-6.141254,39.349267
"130",52,"Kusini Unguja",2,"Kusini",1,-6.337886,39.49151
"131",53,"Mjini/Magharibi Unguja",1,"Magharibi",1,-6.221103,39.250568
"132",53,"Mjini/Magharibi Unguja",2,"Mjini",1,-6.168021,39.209704
"133",54,"Kaskazini Pemba",1,"Wete",1,-5.05589,39.72938
"134",54,"Kaskazini Pemba",2,"Michweweni",1,-5.026339,39.770172
"135",55,"Kusini Pemba",1,"Chakechake",1,-6.801534,39.225172
"136",55,"Kusini Pemba",2,"Mkoani",1,-5.376958,39.719439
