sno,occupation,occup_code
1,Legislators ,1110
2,Senior Government Officials ,1120
3,Traditional Chiefs & Head of Villages ,1130
4,Senior Officials of Political Party Organisation ,1141
5,"Senior Official of Employers, workers and other Economic interest Organisations ",1142
6,Senior Officials of Humanitarian and other Special-Interest Organisations ,1143
7,Directors & Chief Executives ,1210
8,Production & Operations Managers ,1221
9,Finance and Administration Managers ,1222
10,Personel and Industrial Relations Managers ,1223
11,Sales and Marketing Managers ,1224
12,Advertising and Public Relations Managers ,1225
13,Supply and distribution Managers ,1226
14,Computing Services Managers ,1227
15,Research and Development Managers ,1228
16,Other Specialized Managers ,1229
17,General Managers in Agriculture ,1311
18,General Managers in Manufacturing ,1312
19,General Managers in Construction ,1313
20,General Managers in Retail & Wholesale Trade ,1314
21,General Managers in Resturants and Hotels ,1315
22,General Managers in Transportation ,1316
23,General Managers in Business Services Firms ,1317
24,"General Managers in Personnel Care, Cleaning Repairs and Related Services ",1318
25,Physicists and Astronomers ,2111
26,Meteorologists ,2112
27,Chemists ,2113
28,Geologists and Geophysicists ,2114
29,Mathematicians and Related Professionals ,2121
30,Statisticians ,2122
31,System Designers and Analysts ,2131
32,Computer Programmers ,2133
33,Other Computing Professionals ,2139
34,"Architects, Town and Traffic Planners ",2141
35,Civil Engineers ,2142
36,Electrical Engineers ,2143
37,Electronic and Telecommunications Engineers ,2144
38,Mechanical Engineers ,2145
39,Chemical Engineers ,2146
40,"Mining Engineers, Metallurgists and Related Professionals ",2147
41,Cartographers and Surveyors ,2148
42,"Other Architects, Engineers and Related Professionals ",2149
43,"Biologists, Botanists, Zoologists & Related Professionals ",2211
44,"Bacteriologists, Pharmacologists & Related Professionals ",2212
45,Agronomists and Related Professionals ,2213
46,Medical Doctors ,2221
47,Dentists ,2222
48,Veterinarians ,2223
49,Pharmacists ,2224
50,Other Health Professionals (Except Nursing) ,2229
51,Nursing and Midwifery Professionals ,2230
52,"Colleges, University & Higher Education Teaching Professional ",2310
53,Secondary Education Teaching Professionals ,2320
54,Primary Education Teaching Professionals ,2331
55,Pre-primary Education Teaching Professionals ,2332
56,Special Education Teaching Professionals ,2340
57,Education Methods Specialists ,2351
58,School Inspectors ,2352
59,Other Teaching Professionals not Elsewhere Classified ,2359
60,Accountants ,2411
61,Personnel and Careers Professionals ,2412
62,Other Business Professionals ,2419
63,Lawyers ,2421
64,Judges ,2422
65,Other Legal Professionals ,2429
66,Archivists and Curators ,2431
67,Librarians and Related Professionals ,2432
68,Economists ,2441
69,"Sociologists, Anthropologist & Related Professionals ",2442
70,Psychologist ,2445
71,Social Work Professionals ,2446
72,"Authors, Journalist & Other Writers ",2451
73,"Sculptors, Painters & Related Artists ",2452
74,"Composers, Musicians & Singers ",2453
75,Choreographers and Dancers ,2454
76,"Film, Stage and Related Actors and Directors ",2455
77,Religion Professionals ,2460
78,Chemical & Physical Science Technicians ,3111
79,Civil Engineering Technicians ,3112
80,Electrical Engineering Technicians ,3113
81,Mechanical Engineering Technicians ,3114
82,Chemical Engineering Technicians ,3116
83,Mining and Metallurgical Technicians ,3117
84,Other Physical Science & Engineering Technicians ,3118
85,Computer Assistants ,3121
86,Computer Equipment Controllers ,3122
87,Photographers & Image & Sound-Recording Equipment Controllers ,3131
88,Broadcasting and Telecommunications-Equipment Controllers ,3132
89,Medical Equipment Controllers ,3133
90,Other Optical & Electronics Equipment Controllers not elsewhere classified ,3139
91,Ships' Engineers ,3141
92,Ships' Deck Officers & Pilots ,3142
93,Aircraft Pilot & Related Workers ,3143
94,Air Traffic Controllers ,3144
95,Air Traffic Safety Technicians ,3145
96,Building & Fire Inspectors ,3151
97,"Safety, Health & Quality Inspectors (Vehicles, Processes & Products) ",3152
98,Life Science Technicians ,3211
99,Agronomy & Forestry Technicians ,3212
100,Farming & Forestry Advisers ,3213
101,Medical Assistants ,3221
102,Sanitarian ,3222
103,Dieticians and Nutritionists ,3223
104,Optometrists & Opticians ,3224
105,Dental Assistants ,3225
106,Physiotherapists and Related Workers ,3226
107,Veterinary Assistants ,3227
108,Pharmaceutical Assistants ,3228
109,Other Health Associate Professionals (Except Nursing) ,3229
110,Primary Education Teaching Associate Professionals ,3310
111,Pre-Primary Education Teaching Associate Professionals ,3320
112,Special Education Teaching Associate Professionals ,3330
113,Other Teaching Associate Professionals ,3340
114,"Securities, Finance Dealers & Brokers ",3411
115,Insurance Representatives ,3412
116,Estate Agents ,3413
117,Travel Consultants Organisers ,3414
118,Technical & Commercials Sales Representatives ,3415
119,Buyers ,3416
120,Appraisers & Values ,3417
121,Auctioneers ,3418
122,Other Finance & Sales Associate Professionals ,3419
123,Trade Brokers ,3421
124,Clearing & Fowarding Agents ,3422
125,Labour Contractors & Equipment Agents ,3423
126,Other Business Services Agent & Trade Brokers ,3429
127,Administrative & Related Associate Professionals ,3431
128,Legal & Related Business Associate Professionals ,3432
129,Other Administrative Associate Professionals ,3439
130,Custom & Border Professionals ,3441
131,Government Tax & Excise Officials ,3442
132,Government Welfare & Pension Officials ,3443
133,Government Licensing Officials ,3444
134,Commissioned Police Officers & Detectives ,3445
