occupation_code,occupation_name,manual,agri
313,building construction labourers,T,F
812,cement and other mineral processing machine operators,T,F
1110,legislators,F,F
1120,senior government officials,F,F
1130,traditional chiefs & head of villages,F,T
1141,senior officials of political party organisation,F,F
1142,"senior official of employers, workers and other economic int",F,F
1143,senior officials of humanitarian and other special-interest ,F,F
1210,directors & chief executives,F,F
1221,production & operations managers,F,F
1222,finance and administration managers,F,F
1223,personel and industrial relations managers,F,F
1224,sales and marketing managers,F,F
1225,advertising  and public relations managers,F,F
1226,supply and distribution managers,F,F
1227,computing services managers,F,F
1228,research and development managers,F,F
1229,other specialized managers,F,F
1311,general managers in agriculture,F,T
1312,general managers in manufacturing,F,F
1313,general managers in construction,F,F
1314,general managers in retail & wholesale trade,F,F
1315,general managers in resturants and hotels,F,F
1316,general managers in transportation,F,F
1317,general managers in business services firms,F,F
1318,"general managers in personnel care, cleaning repairs and rel",F,F
2111,physicists and astronomers,F,F
2112,meteorologists,F,F
2113,chemists,F,F
2114,geologists and geophysicists,F,F
2121,mathematicians and related professionals,F,F
2122,statisticians,F,F
2131,system designers and analysts,F,F
2133,computer programmers,F,F
2139,other computing professionals,F,F
2141,"architects, town and traffic planners",F,F
2142,civil engineers,F,F
2143,electrical engineers,F,F
2144,electronic and telecommunications engineers,F,F
2145,mechanical engineers,F,F
2146,chemical engineers,F,F
2147,"mining engineers, metallurgists and related professionals",F,F
2148,cartographers and surveyors,F,F
2149,"other architects, engineers and related professionals",F,F
2211,"biologists, botanists, zoologists & related professionals",F,F
2212,"bacteriologists, pharmacologists & related professionals",F,F
2213,agronomists and related professionals,F,F
2221,medical doctors,F,F
2222,dentists,F,F
2223,veterinarians,F,F
2224,pharmacists,F,F
2229,other health professionals (except nursing),F,F
2230,nursing and midwifery professionals,F,F
2310,"colleges, university & higher education teaching professiona",F,F
2320,secondary education teaching professionals,F,F
2331,primary education teaching professionals,F,F
2332,pre-primary education teaching professionals,F,F
2340,special education teaching professionals,F,F
2351,education methods specialists,F,F
2352,school inspectors,F,F
2359,other teaching professionals not elsewhere classified,F,F
2411,accountants,F,F
2412,personnel and careers professionals,F,F
2419,other business professionals,F,F
2421,lawyers,F,F
2422,judges,F,F
2429,other legal professionals,F,F
2431,archivists and curators,F,F
2432,librarians and related professionals,F,F
2441,economists,F,F
2442,"sociologists, anthropologist & related professionals",F,F
2445,psychologist,F,F
2446,social work professionals,F,F
2451,"authors, journalist & other writers",F,F
2452,"sculptors, painters & related artists",F,F
2453,"composers, musicians & singers",T,F
2454,choreographers and dancers,T,F
2455,"film, stage and related actors and directors",F,F
2460,religion professionals,F,F
3111,chemical & physical science technicians,F,F
3112,civil engineering technicians,F,F
3113,electrical engineering technicians,F,F
3114,mechanical engineering technicians,F,F
3116,chemical engineering technicians,F,F
3117,mining and metallurgical technicians,F,F
3118,other physical science & engineering technicians,F,F
3121,computer assistants,F,F
3122,computer equipment controllers,F,F
3131,photographers & image & sound-recording equipment controller,F,F
3132,broadcasting and telecommunications-equipment controllers,F,F
3133,medical equipment controllers,F,F
3139,other optical & electronics equipment controllers not elsewh,F,F
3141,ships' engineers,F,F
3142,ships' deck officers & pilots,F,F
3143,aircraft pilot & related workers,F,F
3144,air traffic controllers,F,F
3145,air traffic safety technicians,F,F
3151,building & fire inspectors,F,F
3152,"safety, health & quality inspectors (vehicles, processes & p",F,F
3211,life science technicians,F,F
3212,agronomy & forestry technicians,F,T
3213,farming & forestry advisers,F,T
3221,medical assistants,F,F
3222,sanitarian,T,F
3223,dieticians and nutritionists,F,F
3224,optometrists & opticians,F,F
3225,dental assistants,F,F
3226,physiotherapists and related workers,F,F
3227,veterinary assistants,F,F
3228,pharmaceutical assistants,F,F
3229,other health associate professionals (except nursing),F,F
3310,primary education teaching associate professionals,F,F
3320,pre-primary education teaching associate professionals,F,F
3330,special education teaching associate professionals,F,F
3340,other teaching associate professionals,F,F
3411,"securities, finance dealers & brokers",F,F
3412,insurance representatives,F,F
3413,estate agents,F,F
3414,travel consultants organisers,F,F
3415,technical & commercials sales representatives,F,F
3416,buyers,F,F
3417,appraisers & values,F,F
3418,auctioneers,F,F
3419,other finance & sales associate professionals,F,F
3421,trade brokers,F,F
3422,clearing & fowarding agents,T,F
3423,labour contractors & equipment agents,T,F
3429,other business services agent & trade brokers,F,F
3431,administrative & related associate professionals,F,F
3432,legal & related business associate professionals,F,F
3439,other administrative associate professionals,F,F
3441,custom & border professionals,F,F
3442,government tax & excise officials,F,F
3443,government welfare & pension officials,F,F
3444,government licensing officials,F,F
3445,commissioned police officers & detectives,F,F
3449,other government associate professionals,F,F
3450,social work associate professionals,F,F
3461,decorators & commercial designers,F,F
3462,"radio, television & other announcers",F,F
3463,"street, nightclub & related musicians, singers & dancers",T,F
3464,"clowns, magicians, acrobats & related workers",T,F
3465,athletes & related workers,T,F
3470,non-ordained religion associate professionals,F,F
4122,statistical & finance clerks,F,F
4131,stock clerks,F,F
4132,production clerks,F,F
4133,transport clerks,F,F
4141,library & filling clerks,F,F
4142,mail carriers & sorting clerks,F,F
4143,"coding, proof-reading & related clerks",F,F
4144,scribes,F,F
5111,flight attendants & travel stewards,F,F
5112,transport conductors,T,F
5113,travel guides and ground hosts,T,F
5121,house stewards and house keepers,T,F
5122,waiters and banenders,T,F
5131,institution-based personal care workers,T,F
5133,home-based personal care workers,T,F
5139,other personal care workers,T,F
5141,"hairdressers, barbers, beauticians & related workers",T,F
5142,companions and valets,T,F
5143,undertakers and embalmers,T,F
5149,other personal services workers not elsewhere classified,T,F
5210,fashion and other models,F,F
5220,shop sales persons & demonstrators,T,F
5230,stall and market salespersons,F,F
6111,field crops & vegetable growers,T,T
6112,tree shrub crop growers,T,T
6113,"gardeners,  horticultural; nursery growers",T,T
6114,mixed crop growers,T,T
6121,dairy &  livestock producers,T,T
6122,poultry products,T,T
6123,mixed animal producers,T,T
6130,market oriented crop & animal producers,T,T
6141,forestry worker and loggers,T,T
6142,charcoal burners & related workers,T,T
6151,aquatic liege cultivation workers,T,T
6152,inland & coastal waters fishery workers,T,T
6153,deep-sea fishery workers,T,T
6154,hunters and trappers,T,T
6210,subsistence agricultural and fishery workers,T,T
7111,miners & quarry workers,T,F
7112,short fires and blasters,T,F
7113,"stone-splitters, cutters and carvers",T,F
7121,builders traditional materials,T,F
7122,"bricklayers, stonemason & tile setters",T,F
7123,"concrete placers, concrete finishers and terrazzo-workers",T,F
7124,carpenter and jointers,T,F
7129,other building frames and related workers,T,F
7131,roofers,T,F
7132,plasterers,T,F
7133,insulators,T,F
7134,glaziers,T,F
7135,plumbers and pipe fitters,T,F
7136,building and related electricians,T,F
7141,painters and paperhangers,T,F
7211,metal moulds and core makers,T,F
